folder name,yt link,status
@Cantik_Idaman,https://www.youtube.com/@Cantik_Idaman/shorts,
@pemburutobrut,https://www.youtube.com/@pemburutobrut/shorts,
@rizalmuk,https://www.youtube.com/@rizalmuk/shorts,
@Kofany,https://www.youtube.com/@Kofany/shorts,
@MUKindustri,https://www.youtube.com/@MUKindustri/shorts,
@SandalJogjaOfficial,https://www.youtube.com/@SandalJogjaOfficial/shorts,
@pyanvlog,https://www.youtube.com/@pyanvlog/shorts,
@AndromedChannel,https://www.youtube.com/@AndromedChannel/shorts,
@aplotzx4829,https://www.youtube.com/@aplotzx4829/shorts,
@Neglasari_official,https://www.youtube.com/@Neglasari_official/shorts,
@BlueMobaGaming,https://www.youtube.com/@BlueMobaGaming/shorts,
@hiduppascol,https://www.youtube.com/@hiduppascol/shorts,
@Komplitandalan,https://www.youtube.com/@Komplitandalan/shorts,
@VIVAROAR,https://www.youtube.com/@VIVAROAR/shorts,
@ahmadzakichannel,https://www.youtube.com/@ahmadzakichannel/shorts,
@asyukk1836,https://www.youtube.com/@asyukk1836/shorts,
@ggwpid,https://www.youtube.com/@ggwpid/shorts,
@HansenVendiAgus007,https://www.youtube.com/@HansenVendiAgus007/shorts,
@GPXOFFICIAL,https://www.youtube.com/@GPXOFFICIAL/shorts,
@gulabedgadget,https://www.youtube.com/@gulabedgadget/shorts,
@TechblastID,https://www.youtube.com/@TechblastID/shorts,
@benysnana5835,https://www.youtube.com/@benysnana5835/shorts,
@Om-Dikki,https://www.youtube.com/@Om-Dikki/shorts,
@AnakKuliah,https://www.youtube.com/@AnakKuliah/shorts,
@opewcoiser,https://www.youtube.com/@opewcoiser/shorts,
@EMENGINDONESIA,https://www.youtube.com/@EMENGINDONESIA/shorts,
@_worldinformation_,https://www.youtube.com/@_worldinformation_/shorts,
@quattuordecim,https://www.youtube.com/@quattuordecim/shorts,
@reisyareindeer,https://www.youtube.com/@reisyareindeer/shorts,
@kioskom,https://www.youtube.com/@kioskom/shorts,
@JejeAdriel20,https://www.youtube.com/@JejeAdriel20/shorts,
@SugengMonosox,https://www.youtube.com/@SugengMonosox/shorts,
